date,language,views
2011/04/30,pi,219724
2011/04/30,pa,109075
2011/04/30,sa,220551
2011/04/30,sd,57119
2011/04/30,ta,2929074
2011/04/30,te,2329270
2011/04/30,ur,1120117
2011/04/30,Total,22428869
2011/05/31,as,134587
2011/05/31,bh,155756
2011/05/31,bn,2769712
2011/05/31,bpy,729132
2011/05/31,gu,840960
2011/05/31,hi,4948898
2011/05/31,kn,1723850
2011/05/31,ks,57443
2011/05/31,ml,2513454
2011/05/31,mr,2742442
2011/05/31,ne,515424
2011/05/31,new,638247
2011/05/31,or,115554
2011/05/31,pi,204321
2011/05/31,pa,111348
2011/05/31,sa,258118
2011/05/31,sd,53601
2011/05/31,ta,3802148
2011/05/31,te,3203635
2011/05/31,ur,1150701
2011/05/31,Total,26669331
2011/06/30,as,86228
2011/06/30,bh,158314
2011/06/30,bn,1946518
2011/06/30,bpy,646801
2011/06/30,gu,717554
2011/06/30,hi,6531680
2011/06/30,kn,1212490
2011/06/30,ks,55038
2011/06/30,ml,2308587
2011/06/30,mr,3144489
2011/06/30,ne,621982
2011/06/30,new,794662
2011/06/30,or,134145
2011/06/30,pi,221374
2011/06/30,pa,105440
2011/06/30,sa,293181
2011/06/30,sd,64317
2011/06/30,ta,3080229
2011/06/30,te,2454052
2011/06/30,ur,1113237
2011/06/30,Total,25690318
2011/07/31,as,99648
2011/07/31,bh,182593
2011/07/31,bn,1947480
2011/07/31,bpy,663570
2011/07/31,gu,891553
2011/07/31,hi,7312163
2011/07/31,kn,1335807
2011/07/31,ks,54782
2011/07/31,ml,2811107
2011/07/31,mr,3819845
2011/07/31,ne,684712
2011/07/31,new,983936
2011/07/31,or,176347
2011/07/31,pi,222555
2011/07/31,pa,111506
2011/07/31,sa,315208
2011/07/31,sd,79945
2011/07/31,ta,3424035
2011/07/31,te,2505058
2011/07/31,ur,1173200
2011/07/31,Total,28795050
2011/08/31,as,143477
2011/08/31,bh,204221
2011/08/31,bn,2521483
2011/08/31,bpy,886627
2011/08/31,gu,1023459
2011/08/31,hi,9094417
2011/08/31,kn,1536835
2011/08/31,ks,90362
2011/08/31,ml,3159346
2011/08/31,mr,4401155
2011/08/31,ne,844582
2011/08/31,new,1064163
2011/08/31,or,224588
2011/08/31,pi,257903
2011/08/31,pa,129108
2011/08/31,sa,378800
2011/08/31,sd,85132
2011/08/31,ta,4033058
2011/08/31,te,2520912
2011/08/31,ur,1517521
2011/08/31,Total,34117149
2011/09/30,as,127560
2011/09/30,bh,175059
2011/09/30,bn,2863890
2011/09/30,bpy,764760
2011/09/30,gu,883623
2011/09/30,hi,7730432
2011/09/30,kn,1333610
2011/09/30,ks,71859
2011/09/30,ml,2792725
2011/09/30,mr,4588807
2011/09/30,ne,694126
2011/09/30,new,1296200
2011/09/30,or,206623
2011/09/30,pi,266888
2011/09/30,pa,139424
2011/09/30,sa,343256
2011/09/30,sd,71894
2011/09/30,ta,4136077
2011/09/30,te,2328409
2011/09/30,ur,1604866
2011/09/30,Total,32420088
2011/10/31,as,243991
2011/10/31,bh,278434
2011/10/31,bn,4439441
2011/10/31,bpy,1237923
2011/10/31,gu,1130133
2011/10/31,hi,9004187
2011/10/31,kn,1859668
2011/10/31,ks,64845
2011/10/31,ml,5570501
2011/10/31,mr,6086932
2011/10/31,ne,1338339
2011/10/31,new,1395192
2011/10/31,or,489014
2011/10/31,pi,416882
2011/10/31,pa,184845
2011/10/31,sa,568859
2011/10/31,sd,82199
2011/10/31,ta,4898556
2011/10/31,te,3568060
2011/10/31,ur,1696818
2011/10/31,Total,44554819
2011/11/30,as,162464
2011/11/30,bh,204050
2011/11/30,bn,2460603
2011/11/30,bpy,769336
2011/11/30,gu,815330
2011/11/30,hi,6548639
2011/11/30,kn,1397457
2011/11/30,ks,79065
2011/11/30,ml,5811737
2011/11/30,mr,7566350
2011/11/30,ne,1249960
2011/11/30,new,908057
2011/11/30,or,257704
2011/11/30,pi,259858
2011/11/30,pa,127700
2011/11/30,sa,356634
2011/11/30,sd,74148
2011/11/30,ta,4007115
2011/11/30,te,2249882
2011/11/30,ur,1519823
2011/11/30,Total,36825912
2011/12/31,as,212109
2011/12/31,bh,176915
2011/12/31,bn,2315088
2011/12/31,bpy,878084
2011/12/31,gu,869915
2011/12/31,hi,5854485
2011/12/31,kn,1200877
2011/12/31,ks,63550
2011/12/31,ml,2715708
2011/12/31,mr,3887211
2011/12/31,ne,873115
2011/12/31,new,987396
2011/12/31,or,284887
2011/12/31,pi,290885
2011/12/31,pa,153181
2011/12/31,sa,462066
2011/12/31,sd,83698
2011/12/31,ta,4247678
2011/12/31,te,2501728
2011/12/31,ur,1555202
2011/12/31,Total,29613778
2012/01/31,as,255686
2012/01/31,bh,170274
2012/01/31,bn,2531719
2012/01/31,bpy,818207
2012/01/31,gu,1023531
2012/01/31,hi,6215016
2012/01/31,kn,1374231
2012/01/31,ks,69966
2012/01/31,ml,2956862
2012/01/31,mr,4325466
2012/01/31,ne,828952
2012/01/31,new,840122
2012/01/31,or,282293
2012/01/31,pi,288078
2012/01/31,pa,131539
2012/01/31,sa,463435
2012/01/31,sd,71377
2012/01/31,ta,4417389
2012/01/31,te,2698912
2012/01/31,ur,1436794
2012/01/31,Total,31199849
2012/02/29,as,293001
2012/02/29,bh,194105
2012/02/29,bn,2347611
2012/02/29,bpy,720784
2012/02/29,gu,938459
2012/02/29,hi,5213561
2012/02/29,kn,1228050
2012/02/29,ks,66471
2012/02/29,ml,2518167
2012/02/29,mr,3645486
2012/02/29,ne,831049
2012/02/29,new,852102
